Centroid_ID,Centroid_Name,Centroid_Lat,Centroid_Lon,Polling_Place_ID,Polling_Place_PostCode,Polling_Place_Name,Polling_Place_Address,Distance_m
0,,-37.83759427054876,144.98291661287664,5852,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,5955,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,5994,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6133,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6250,3032.0,Maribyrnong Community Centre,Randall St,11411.869005125893
0,,-37.83759427054876,144.98291661287664,6251,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6290,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6423,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6458,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6520,3141.0,St Martins Hall,120 Millswyn St,384.2830123402662
0,,-37.83759427054876,144.98291661287664,6525,3141.0,Toorak-South Yarra Library,340 Toorak Rd,1442.767087290416
0,,-37.83759427054876,144.98291661287664,6533,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6541,3004.0,Deaf Children Australia,597 St Kilda Rd,1344.5791195752024
0,,-37.83759427054876,144.98291661287664,6543,3141.0,Renown Kindergarten,20 Cliff St,1116.6928767086029
0,,-37.83759427054876,144.98291661287664,6544,3141.0,Melbourne High School,1 Forrest Hill,1082.9056648386038
0,,-37.83759427054876,144.98291661287664,6545,3141.0,South Yarra Community Baptist Church,12 Surrey Rd,1656.9124465882649
0,,-37.83759427054876,144.98291661287664,6546,3141.0,South Yarra Community Baptist Church,12 Surrey Rd,1656.9124465882649
0,,-37.83759427054876,144.98291661287664,6607,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6745,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6787,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6838,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6904,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6926,3004.0,Deaf Children Australia,597 St Kilda Rd,1344.5791195752024
0,,-37.83759427054876,144.98291661287664,6943,3207.0,"Old School Hall, St Peter & Paul's Church",cnr Montague and Bank Sts,2552.3581077364533
0,,-37.83759427054876,144.98291661287664,6944,3141.0,St Martins Hall,120 Millswyn St,384.2830123402662
0,,-37.83759427054876,144.98291661287664,6947,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6948,3006.0,Melbourne Convention and Exhibition Centre,"Door 10, Halls 19 & 20",3059.6584730418554
0,,-37.83759427054876,144.98291661287664,6950,3207.0,Liardet Hall (Southport Community Centre),Liardet Street Community Centre,3638.850906399943
0,,-37.83759427054876,144.98291661287664,6951,3207.0,Albert Park College Environmental Arts Hub,Albert Park Secondary College,3893.1218734885415
0,,-37.83759427054876,144.98291661287664,6952,3207.0,Port Melbourne Primary School,415 Graham St,4319.439369008448
0,,-37.83759427054876,144.98291661287664,6957,3004.0,Deaf Children Australia,597 St Kilda Rd,1344.5791195752024
0,,-37.83759427054876,144.98291661287664,6961,3207.0,Fishermans Bend Community Centre,10 Centre Ave,5497.21598571171
0,,-37.83759427054876,144.98291661287664,6962,3006.0,Victorian College of the Arts Secondary School,57 Miles St,1897.421569170476
0,,-37.83759427054876,144.98291661287664,6963,3006.0,"The Octagon, University of Melbourne Southbank Campus",50 Dodds Street,1861.7946864349997
0,,-37.83759427054876,144.98291661287664,6965,3141.0,South Yarra Community Baptist Church,12 Surrey Rd,1656.9124465882649
0,,-37.83759427054876,144.98291661287664,7068,3032.0,Wingate Community Centre,13a Wingate Ave,8567.435399588467
0,,-37.83759427054876,144.98291661287664,7069,3032.0,St Mary's School,St Marys Primary School,9440.402992345744
0,,-37.83759427054876,144.98291661287664,7070,3032.0,Ascot Vale Primary School,Bank St,8611.901705113758
0,,-37.83759427054876,144.98291661287664,7071,3032.0,Ascot Vale West Primary School,Ascot Vale West Primary,8942.700341409998
0,,-37.83759427054876,144.98291661287664,7084,3031.0,St Brendans School,St Brendans Primary School,7438.338050887729
0,,-37.83759427054876,144.98291661287664,7094,3031.0,"Kensington Primary School, Victoria",McCracken St,6992.773287165361
0,,-37.83759427054876,144.98291661287664,7095,3031.0,"Holy Rosary School, VIC",37 Gower St,6686.944937312925
